Row index;Column index;Set index ;;;;;;;
;;0;1;2;3;4;5;6;7
0;0;250;307;73;223;211;294;0;135
;1;69;19;15;16;198;118;0;227
;2;226;50;103;94;188;167;0;126
;3;159;369;49;91;186;330;0;134
;5;100;181;240;74;219;207;0;84
;6;10;216;39;10;4;165;0;83
;9;59;317;15;0;29;243;0;53
;10;229;288;162;205;144;250;0;225
;11;110;109;215;216;116;1;0;205
;12;191;17;164;21;216;339;0;128
;13;9;357;133;215;115;201;0;75
;15;195;215;298;14;233;53;0;135
;16;23;106;110;70;144;347;0;217
;18;190;242;113;141;95;304;0;220
;19;35;180;16;198;216;167;0;90
;20;239;330;189;104;73;47;0;105
;21;31;346;32;81;261;188;0;137
;22;1;1;1;1;1;1;0;1
;23;0;0;0;0;0;0;0;0
1;0;2;76;303;141;179;77;22;96
;2;239;76;294;45;162;225;11;236
;3;117;73;27;151;223;96;124;136
;4;124;288;261;46;256;338;0;221
;5;71;144;161;119;160;268;10;128
;7;222;331;133;157;76;112;0;92
;8;104;331;4;133;202;302;0;172
;9;173;178;80;87;117;50;2;56
;11;220;295;129;206;109;167;16;11
;12;102;342;300;93;15;253;60;189
;14;109;217;76;79;72;334;0;95
;15;132;99;266;9;152;242;6;85
;16;142;354;72;118;158;257;30;153
;17;155;114;83;194;147;133;0;87
;19;255;331;260;31;156;9;168;163
;21;28;112;301;187;119;302;31;216
;22;0;0;0;0;0;0;105;0
;23;0;0;0;0;0;0;0;0
;24;0;0;0;0;0;0;0;0
2;0;106;205;68;207;258;226;132;189
;1;111;250;7;203;167;35;37;4
;2;185;328;80;31;220;213;21;225
;4;63;332;280;176;133;302;180;151
;5;117;256;38;180;243;111;4;236
;6;93;161;227;186;202;265;149;117
;7;229;267;202;95;218;128;48;179
;8;177;160;200;153;63;237;38;92
;9;95;63;71;177;0;294;122;24
;10;39;129;106;70;3;127;195;68
;13;142;200;295;77;74;110;155;6
;14;225;88;283;214;229;286;28;101
;15;225;53;301;77;0;125;85;33
;17;245;131;184;198;216;131;47;96
;18;205;240;246;117;269;163;179;125
;19;251;205;230;223;200;210;42;67
;20;117;13;276;90;234;7;66;230
;24;0;0;0;0;0;0;0;0
;25;0;0;0;0;0;0;0;0
3;0;121;276;220;201;187;97;4;128
;1;89;87;208;18;145;94;6;23
;3;84;0;30;165;166;49;33;162
;4;20;275;197;5;108;279;113;220
;6;150;199;61;45;82;139;49;43
;7;131;153;175;142;132;166;21;186
;8;243;56;79;16;197;91;6;96
;10;136;132;281;34;41;106;151;1
;11;86;305;303;155;162;246;83;216
;12;246;231;253;213;57;345;154;22
;13;219;341;164;147;36;269;87;24
;14;211;212;53;69;115;185;5;167
;16;240;304;44;96;242;249;92;200
;17;76;300;28;74;165;215;173;32
;18;244;271;77;99;0;143;120;235
;20;144;39;319;30;113;121;2;172
;21;12;357;68;158;108;121;142;219
;22;1;1;1;1;1;1;0;1
;25;0;0;0;0;0;0;0;0
4;0;157;332;233;170;246;42;24;64
;1;102;181;205;10;235;256;204;211
;26;0;0;0;0;0;0;0;0
5;0;205;195;83;164;261;219;185;2
;1;236;14;292;59;181;130;100;171
;3;194;115;50;86;72;251;24;47
;12;231;166;318;80;283;322;65;143
;16;28;241;201;182;254;295;207;210
;21;123;51;267;130;79;258;161;180
;22;115;157;279;153;144;283;72;180
;27;0;0;0;0;0;0;0;0
6;0;183;278;289;158;80;294;6;199
;6;22;257;21;119;144;73;27;22
;10;28;1;293;113;169;330;163;23
;11;67;351;13;21;90;99;50;100
;13;244;92;232;63;59;172;48;92
;17;11;253;302;51;177;150;24;207
;18;157;18;138;136;151;284;38;52
;20;211;225;235;116;108;305;91;13
;28;0;0;0;0;0;0;0;0
7;0;220;9;12;17;169;3;145;77
;1;44;62;88;76;189;103;88;146
;4;159;316;207;104;154;224;112;209
;7;31;333;50;100;184;297;153;32
;8;167;290;25;150;104;215;159;166
;14;104;114;76;158;164;39;76;18
;29;0;0;0;0;0;0;0;0
8;0;112;307;295;33;54;348;172;181
;1;4;179;133;95;0;75;2;105
;3;7;165;130;4;252;22;131;141
;12;211;18;231;217;41;312;141;223
;16;102;39;296;204;98;224;96;177
;19;164;224;110;39;46;17;99;145
;21;109;368;269;58;15;59;101;199
;22;241;67;245;44;230;314;35;153
;24;90;170;154;201;54;244;116;38
;30;0;0;0;0;0;0;0;0
9;0;103;366;189;9;162;156;6;169
;1;182;232;244;37;159;88;10;12
;10;109;321;36;213;93;293;145;206
;11;21;133;286;105;134;111;53;221
;13;142;57;151;89;45;92;201;17
;17;14;303;267;185;132;152;4;212
;18;61;63;135;109;76;23;164;92
;20;216;82;209;218;209;337;173;205
;31;0;0;0;0;0;0;0;0
10;1;98;101;14;82;178;175;126;116
;2;149;339;80;165;1;253;77;151
;4;167;274;211;174;28;27;156;70
;7;160;111;75;19;267;231;16;230
;8;49;383;161;194;234;49;12;115
;14;58;354;311;103;201;267;70;84
;32;0;0;0;0;0;0;0;0
11;0;77;48;16;52;55;25;184;45
;1;41;102;147;11;23;322;194;115
;12;83;8;290;2;274;200;123;134
;16;182;47;289;35;181;351;16;1
;21;78;188;177;32;273;166;104;152
;22;252;334;43;84;39;338;109;165
;23;22;115;280;201;26;192;124;107
;33;0;0;0;0;0;0;0;0
12;0;160;77;229;142;225;123;6;186
;1;42;186;235;175;162;217;20;215
;10;21;174;169;136;244;142;203;124
;11;32;232;48;3;151;110;153;180
;13;234;50;105;28;238;176;104;98
;18;7;74;52;182;243;76;207;80
;34;0;0;0;0;0;0;0;0
13;0;177;313;39;81;231;311;52;220
;3;248;177;302;56;0;251;147;185
;7;151;266;303;72;216;265;1;154
;20;185;115;160;217;47;94;16;178
;23;62;370;37;78;36;81;46;150
;35;0;0;0;0;0;0;0;0
14;0;206;142;78;14;0;22;1;124
;12;55;248;299;175;186;322;202;144
;15;206;137;54;211;253;277;118;182
;16;127;89;61;191;16;156;130;95
;17;16;347;179;51;0;66;1;72
;21;229;12;258;43;79;78;2;76
;36;0;0;0;0;0;0;0;0
15;0;40;241;229;90;170;176;173;39
;1;96;2;290;120;0;348;6;138
;10;65;210;60;131;183;15;81;220
;13;63;318;130;209;108;81;182;173
;18;75;55;184;209;68;176;53;142
